parent,name,sequence,score,ip
null,0,441222143133,1.0,172.20.108.74
0,1312208681.83,444212213133,0.25,172.20.108.74
0,1313611419.62,44212423312,0.5,80.192.80.52
1312208681.83,1313611469.93,4442212121313133,0.25,80.192.80.52
0,1313611487.12,441222141233,0.166666666667,80.192.80.52
1313611487.12,1313611560.59,4412221412333,0.0769230769231,80.192.80.52
1313611487.12,1313611588.09,44412221412133,0.142857142857,80.192.80.52
1313611419.62,1314079922.29,4424221333,0.454545454545,109.148.229.234
1313611487.12,1314079943.36,44121412333,0.25,109.148.229.234
0,1314079963.86,41222141333,0.25,109.148.229.234
1313611419.62,1314079986.67,441212141333,0.416666666667,109.148.229.234
1313611419.62,1314080011.09,4412121413312,0.230769230769,109.148.229.234
1314079943.36,1314080033.24,41412121333,0.272727272727,109.148.229.234
1312208681.83,1314080053.86,4414121221333,0.230769230769,109.148.229.234
1314080011.09,1314080074.21,4414121241313,0.307692307692,109.148.229.234
1313611419.62,1314080093.63,44141212333,0.454545454545,109.148.229.234
1313611560.59,1314080113.57,4412141333,0.230769230769,109.148.229.234
1314079922.29,1314080131.55,442421333,0.1,109.148.229.234
1313611419.62,1314080151.9,442421321333,0.5,109.148.229.234
1312208681.83,1314080170.73,44241324333,0.416666666667,109.148.229.234
